id,chapter,order,start_seconds,title_key,status,quiz_size
intro,1,1,0,section.intro,active,
basic-sets,1,2,302,section.basic_sets,active,
symbols-notation,1,3,523,section.symbols_notation,active,
divisibility-congruence,1,4,731,section.divisibility_congruence,active,5
gcd,1,5,861,section.gcd,active,5
flt-n3,1,6,1021,section.flt_n3,coming_soon
flt-n4,1,7,1669,section.flt_n4,coming_soon
calculus-complex,1,8,2339,section.calculus_complex,coming_soon
matrices,2,9,4023,section.matrices,coming_soon
vector-spaces,2,10,6028,section.vector_spaces,coming_soon
linear-transforms,2,11,7347,section.linear_transforms,coming_soon
groups,3,12,9890,section.groups,coming_soon
rings-fields,3,13,12967,section.rings_fields,coming_soon
galois-theory,3,14,15413,section.galois_theory,coming_soon
galois-reps,3,15,16652,section.galois_reps,coming_soon
padic,3,16,17648,section.padic,coming_soon
projective-elliptic,4,17,18810,section.projective_elliptic,coming_soon
elliptic-group-law,4,18,19852,section.elliptic_group_law,coming_soon
reduction-mod-p,4,19,20324,section.reduction_mod_p,coming_soon
torsion-tate,4,20,20805,section.torsion_tate,coming_soon
invariants-lfunctions,4,21,22701,section.invariants_lfunctions,coming_soon
eta-modular,5,22,23901,section.eta_modular,coming_soon
spaces-modular,5,23,25656,section.spaces_modular,coming_soon
hecke,5,24,26099,section.hecke,coming_soon
newforms,5,25,28107,section.newforms,coming_soon
four-clues,6,26,28982,section.four_clues,coming_soon
modularity,6,27,30160,section.modularity,coming_soon
serre-ribet-frey,6,28,30670,section.serre_ribet_frey,coming_soon
final-proof,6,29,31716,section.final_proof,coming_soon
